# list of attributes that may be useful
# format of this file: anything with a # symbol is ignored
# first line without # will be the name of this "attribute"
# anything else will be values to use
# if you have any useful contributions like this for PHPlist, send them to me, 
# and I can include them in next versions. That will save others in collecting 
# the information
Woonplaats:Cities of Belgium
9420 Aaigem
8511 Aalbeke
9300 Aalst
3800 Aalst (Limb.)
9880 Aalter
3200 Aarschot
8700 Aarsele
8211 Aartrijke
2630 Aartselaar
4557 Abée
4280 Abolens
3930 Achel
5590 Achêne
5362 Achet
4219 Acosse
6280 Acoz
9991 Adegem
8660 Adinkerke
1790 Affligem
9051 Afsnee
5544 Agimont
4317 Aineffe
5310 Aische-en-Refail
6250 Aiseau
6250 Aiseau-Presles
5070 Aisemont
3570 Alken
5550 Alle
4432 Alleur
1652 Alsemberg
8690 Alveringem
4540 Amay
6680 Amberloup
4770 Amblève
6953 Ambly
4219 Ambresin
4770 Amel
6997 Amonines
7750 Amougies
4540 Ampsin
5300 Andenne
1070 Anderlecht
6150 Anderlues
4821 Andrimont
4031 Angleur
7387 Angre
7387 Angreau
5537 Anhée
6721 Anlier
6890 Anloy
5537 Annevoie-Rouillon
4430 Ans
5500 Anseremme
7750 Anseroeul
5520 Anthée
4520 Antheit
4160 Anthisnes
7640 Antoing
2000 Antwerpen
2018 Antwerpen
2020 Antwerpen
2030 Antwerpen
2040 Antwerpen
2050 Antwerpen
2060 Antwerpen
7910 Anvaing
8570 Anzegem
9200 Appels
9400 Appelterre-Eichem
7811 Arbre (Ht.)
5170 Arbre (Nam.)
4990 Arbrefontaine
7910 Arc-Ainières
1390 Archennes
7910 Arc-Wattripont
8850 Ardooie
2370 Arendonk
4601 Argenteau
6700 Arlon
7181 Arquennes
5060 Arsimont
6870 Arville
3665 As
9404 Aspelare
9890 Asper
7040 Asquillies
1007 Ass. Commiss. Communau. française
1005 Ass. Réun. Com. Communau. Commune
1730 Asse
8310 Assebroek
9960 Assenede
6860 Assenois
3460 Assent
5330 Assesse
9800 Astene
7800 Ath
7387 Athis
6791 Athus
3404 Attenhoven
3384 Attenrode
6717 Attert
7941 Attre
6790 Aubange
7972 Aubechies
4880 Aubel
5660 Aublain
6880 Auby-sur-Semois
1160 Auderghem
7382 Audregnies
7040 Aulnois
6706 Autelbas
1367 Autre-Eglise
7387 Autreppe
5060 Auvelais
5580 Ave-et-Auffe
8630 Avekapelle
8580 Avelgem
4260 Avennes
3271 Averbode
4280 Avernas-le-Bauduin
4280 Avin
4340 Awans
6870 Awenne
4400 Awirs
6900 Aye
4630 Ayeneux
4920 Aywaille
4090 B.S.D. (Belg. Strijdkr. Duitsland)
9890 Baaigem
3128 Baal
9310 Baardegem
2387 Baarle-Hertog
9200 Baasrode
9800 Bachte-Maria-Leerne
4837 Baelen (Lg.)
5550 Bagimont
6464 Baileux
6460 Bailièvre
5555 Baillamont
7730 Bailleul
5377 Baillonville
7380 Baisieux
1470 Baisy-Thy
5190 Balâtre
9860 Balegem
2490 Balen
9420 Bambrugge
6951 Bande
6500 Barbençon
4671 Barchon
5570 Baronville
7534 Barry
5370 Barvaux-Condroz
6940 Barvaux-sur-Ourthe
7971 Basècles
4520 Bas-Oha
4983 Basse-Bodeux
4690 Bassenge
9968 Bassevelde
7830 Bassilly
6600 Bastogne
7784 Bas-Warneton
3870 Batsheers
4651 Battice
7130 Battignies
7331 Baudour
7870 Bauffe
7604 Baugnies
1401 Baulers
9520 Bavegem
8531 Bavikhove
9150 Bazel
4052 Beaufays
6500 Beaumont
5570 Beauraing
6980 Beausaint
1320 Beauvechain
8630 Beauvoorde
6594 Beauwelz
7532 Beclers
3960 Beek
9630 Beerlegem
8730 Beernem
2340 Beerse
1650 Beersel
8600 Beerst
1673 Beert
9080 Beervelde
2580 Beerzel
5000 Beez
6987 Beffe
3130 Begijnendijk
6672 Beho
1852 Beigem
8480 Bekegem
